"id","question","optA","optB","optC","answer","hint"
"1","1 + 1 等於多少？","11","2","3","2","這是一根手指加一根手指。"
"2","太陽是從哪邊升起？","東邊","西邊","北邊","1","早上起床面向太陽是東方。"
"3","蝌蚪長大會變成什麼？","青蛙","金魚","烏龜","1","牠會呱呱叫，還會跳。"
"4","過馬路要看什麼燈？","路燈","紅綠燈","霓虹燈","2","紅燈停，綠燈行。"
"5",哪個水果是紅色的？,"香蕉",蘋果,"檸檬",2,"白雪公主吃的那一顆。"
"6",冰塊融化會變成什麼？,"水蒸氣",水,"石頭",2,"熱熱的時候喝它是水。"
"7",地球繞著什麼轉？,"月亮",太陽,"星星",2,"白天有太陽，晚上有月亮。"
"8","哪一個是哺乳類動物？","青蛙","鯊魚","老虎","3","牠有毛髮，會生小寶寶。"
"9","哪一個是交通工具？","汽車","房子","樹木","1","可以載人從一個地方到另一個地方。"
"10","哪一個是樂器？","鋼琴","椅子","桌子","1","可以用來彈奏音樂的東西。"
